"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,0.720234457486772,3.23573844024637,1e-10,1.66666666666667e-09,8.7719298245614e-10,3024,"tags=58%, list=18%, signal=48%","24137/332/146909/4605/7153/9833/6241/9787/991/79733/9212/4288/5347/3161/55635/11004/55723/147841/29089/9232/983/7083/701/83461/79019/9133/57405/6790/1033/55143/9700/1164/10615/4001/1062/9837/23594/10460/9319/27338/2146/3149/81624/10635/51155/4085/3838/11113/993/898/1029/3014/29028/3070/29127/4830/1111/4173/10733/84296/4171/3925/83463/10535/675/8914/3835/3159/10797/10212/3015/5111/10051/29980/79075/79077/6628/1503/580/3978/197335/7283/6941/23649/10248/1786/5982/3148/10606/5424/4175/672/994/11200/7037/5885/5558/1163/4172/5931/10549/203068/1434/6119/5902/6839/9238/9918/29893/10528/5983/5901/7112/5426/5425/84316"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",199,0.676406395045518,3.03623798631117,1e-10,1.66666666666667e-09,8.7719298245614e-10,2437,"tags=49%, list=14%, signal=42%","4751/11065/24137/332/4605/7153/55872/10024/9156/22974/991/9212/4288/699/5347/1063/3161/11004/1058/10403/9232/983/9133/57082/8318/6790/1033/890/9700/7272/990/10721/9493/1164/8438/1870/1869/4001/3832/1062/56992/23594/10460/27338/2146/6713/3149/51659/8140/51155/4085/3838/6491/993/85236/3014/29127/899/3226/1111/10733/8317/4171/3925/675/3835/3159/10212/3015/10051/9055/10293/580/10926/1841/602/23649/10036/9184/8819/7090/4957/4175/994/3980/7468/51203/3619/5885/5558/7040/1163/1871/81539/4172/26271/6632"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,0.538951239653842,2.42130215437297,1e-10,1.66666666666667e-09,8.7719298245614e-10,4910,"tags=56%, list=29%, signal=40%","991/8318/890/4085/3838/4830/4173/4171/7298/3015/5111/7203/1503/3068/5984/3336/3251/10856/9184/11335/5704/5691/6204/3608/5709/4175/51690/6637/1537/10213/1478/55651/6732/6632/7965/6150/2079/22948/5496/10549/10921/5230/4706/6627/2058/10155/5688/5902/5634/2806/10528/5901/2739/51491/5425/1017/5478/10907/7416/65005/5685/26121/10576/4174/4176/7284/3181/10987/6742/1207/5687/52/3192/6426/9221/57819/3183/6633/9136/3329/6418/6629/3326/7027/6240/2935/9377/7419/5714/3939/11260/8894/5245/10574/54107/5690/6599/1019/7411/3376/4686/22916/708/23196/3066/5707/790/6626/6187/10728/8662/6427"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",198,-0.561248019169838,-1.94772202026311,4.35561026166567e-10,5.44451282708209e-09,2.86553306688531e-09,2958,"tags=29%, list=17%, signal=24%","10400/23344/3459/10010/1031/10449/5236/123/3033/84173/19/2632/23187/54884/3910/604/1580/4199/6453/35/26353/718/6776/4958/10124/5209/847/8082/9936/5733/284119/217/8404/11343/8322/56246/51129/4638/6623/284/3977/5168/5468/10580/3679/2878/57678/80760/3991/8436/4023/948/33/1149/2167/9370/3952"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",198,0.440963409255342,1.97957489560014,2.31605497770704e-09,2.31605497770704e-08,1.21897630405634e-08,1078,"tags=16%, list=6%, signal=15%","4751/24137/332/7153/9787/22974/54443/699/5347/1063/11004/10403/983/9133/6790/9700/7272/9493/4001/3832/1062/56992/80119/29127/1894/675/3835/7430/29901/54509/10051/9055"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",200,0.434760715415744,1.9532139077164,8.0982875475763e-09,6.74857295631358e-08,3.55188050332294e-08,4726,"tags=54%, list=28%, signal=39%","6241/699/5347/6790/6713/8140/993/899/9368/57761/4173/23657/6652/4171/23753/10797/10212/6513/27346/10962/112399/10452/9415/10682/7283/7852/2286/3336/226/2232/3251/1717/811/7494/5704/6509/928/10963/10437/2597/6472/81873/7167/11151/4860/5052/27101/5723/5033/7037/10213/871/1718/2936/4793/5230/3309/6184/2058/516/3689/5693/8503/10652/908/9521/2539/5478/11333/5685/3145/2805/5718/10987/8833/5211/1595/51377/3308/30001/27071/2821/6503/9136/3329/56902/51109/6715/586/3939/8894/10096/10097/27230/10061/5684/8624/5701/47/7374/3313/23165/79071/8553/2717/7184/3156"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",193,-0.506839842819279,-1.75162035827128,7.50689780178714e-07,5.36206985841939e-06,2.82214203074705e-06,3398,"tags=41%, list=20%, signal=33%","3486/3688/1306/3475/25937/6319/3691/70/1837/6444/7139/6840/58529/10290/10468/23604/7136/4303/1839/5091/23175/7169/1191/7433/7125/4208/4634/688/4621/26353/274/6261/1489/89797/11155/3983/5621/5569/3270/6876/4633/1012/29970/6442/8082/4620/3908/5740/9172/22808/2180/1346/2934/1160/4638/859/4842/4684/58498/3479/4619/6649/5837/845/347/10580/8736/3679/2878/2247/1675/1756/1674/7140/6445/1410/4629/2273/948"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",149,0.421937429395633,1.84832470715948,3.5860790069817e-06,2.24129937936356e-05,1.17963125229661e-05,5328,"tags=52%, list=31%, signal=36%","11130/5888/4830/7298/2237/552900/29901/5111/4832/10309/124583/10189/3978/5984/286075/3251/23649/5437/5982/129607/23204/4833/5424/4860/11047/8480/3704/5148/5423/57804/2987/51160/155382/5440/10063/5439/4350/6119/5983/6895/5438/1069/1479/29927/6809/10959/25874/5557/5436/9978/5985/353/8721/30834/51497/9533/1716/51251/6878/30833/22916/6621/25920/6829/100/5433/7936/9328/2068/1603/10623/5429/4059/6749/6883/7372/978"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",58,0.574524080962027,2.14593671406463,4.32531332370601e-06,2.40295184650334e-05,1.26471149815965e-05,5377,"tags=72%, list=32%, signal=50%","5347/4173/10733/6652/27346/79077/3336/6573/11335/2193/705/23223/64216/80324/56915/7965/79050/9238/10528/51491/56342/4174/3177/79711/9221/9136/10244/3329/6949/83743/5245/23481/1019/81887/7374/51154/92856/5036/10196/6723/26354/10199"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",97,0.44154983416426,1.82212186887911,6.95394567767196e-05,0.000347697283883598,0.000182998570465051,4431,"tags=53%, list=26%, signal=39%","6373/3627/9636/3665/8638/91543/5721/4938/27074/4599/6890/3429/85441/11274/129607/3669/94240/10437/6402/684/83666/103/9246/9830/64761/8767/3430/11054/3107/4061/10379/8519/4343/3659/5720/54625/5696/10561/54809/64135/5698/3437/93343/10906/3433/3959/79132/3431/5684/7726/10964"
